vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
1.100,388.0E-6,719.3E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.105,388.1E-6,719.3E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.110,388.1E-6,719.4E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.115,388.2E-6,719.5E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.120,388.3E-6,719.5E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.125,388.4E-6,719.6E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.855E-3
1.130,388.5E-6,719.7E-6,1.272E-3,1.737E-3,2.146E-3,2.515E-3,2.856E-3
1.135,388.6E-6,719.7E-6,1.273E-3,1.737E-3,2.146E-3,2.515E-3,2.856E-3
1.140,388.7E-6,719.8E-6,1.273E-3,1.737E-3,2.146E-3,2.515E-3,2.856E-3
1.145,388.8E-6,719.9E-6,1.273E-3,1.737E-3,2.146E-3,2.515E-3,2.856E-3
1.150,389.0E-6,720.0E-6,1.273E-3,1.737E-3,2.146E-3,2.515E-3,2.856E-3
1.155,389.1E-6,720.1E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.160,389.2E-6,720.2E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.165,389.4E-6,720.3E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.170,389.6E-6,720.4E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.175,389.7E-6,720.6E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.180,389.9E-6,720.7E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.185,390.1E-6,720.8E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
1.190,390.3E-6,721.0E-6,1.273E-3,1.737E-3,2.146E-3,2.516E-3,2.856E-3
