vce,ic0u5,ic1u0,ic2u0,ic3u0,ic4u0,ic5u0,ic6u0
630.0E-3,377.6E-6,689.7E-6,1.192E-3,1.600E-3,1.949E-3,2.257E-3,2.536E-3
635.0E-3,377.6E-6,689.5E-6,1.192E-3,1.599E-3,1.948E-3,2.256E-3,2.534E-3
640.0E-3,377.5E-6,689.3E-6,1.191E-3,1.598E-3,1.946E-3,2.254E-3,2.532E-3
645.0E-3,377.4E-6,689.1E-6,1.191E-3,1.597E-3,1.945E-3,2.252E-3,2.530E-3
650.0E-3,377.4E-6,688.9E-6,1.190E-3,1.596E-3,1.944E-3,2.251E-3,2.528E-3
655.0E-3,377.3E-6,688.7E-6,1.190E-3,1.595E-3,1.942E-3,2.249E-3,2.526E-3
660.0E-3,377.3E-6,688.5E-6,1.189E-3,1.594E-3,1.941E-3,2.248E-3,2.524E-3
665.0E-3,377.2E-6,688.3E-6,1.189E-3,1.594E-3,1.940E-3,2.246E-3,2.522E-3
670.0E-3,377.1E-6,688.1E-6,1.188E-3,1.593E-3,1.939E-3,2.244E-3,2.520E-3
675.0E-3,377.1E-6,687.9E-6,1.188E-3,1.592E-3,1.937E-3,2.243E-3,2.518E-3
680.0E-3,377.0E-6,687.7E-6,1.187E-3,1.591E-3,1.936E-3,2.241E-3,2.516E-3
685.0E-3,376.9E-6,687.5E-6,1.186E-3,1.590E-3,1.935E-3,2.240E-3,2.514E-3
690.0E-3,376.9E-6,687.4E-6,1.186E-3,1.589E-3,1.934E-3,2.238E-3,2.512E-3
695.0E-3,376.8E-6,687.2E-6,1.185E-3,1.588E-3,1.933E-3,2.236E-3,2.510E-3
700.0E-3,376.8E-6,687.0E-6,1.185E-3,1.587E-3,1.931E-3,2.235E-3,2.509E-3
705.0E-3,376.7E-6,686.8E-6,1.184E-3,1.586E-3,1.930E-3,2.233E-3,2.507E-3
710.0E-3,376.6E-6,686.6E-6,1.184E-3,1.586E-3,1.929E-3,2.232E-3,2.505E-3
715.0E-3,376.6E-6,686.4E-6,1.183E-3,1.585E-3,1.928E-3,2.230E-3,2.503E-3
720.0E-3,376.5E-6,686.2E-6,1.183E-3,1.584E-3,1.926E-3,2.229E-3,2.501E-3
725.0E-3,376.5E-6,686.0E-6,1.182E-3,1.583E-3,1.925E-3,2.227E-3,2.499E-3
730.0E-3,376.4E-6,685.8E-6,1.182E-3,1.582E-3,1.924E-3,2.225E-3,2.497E-3
735.0E-3,376.3E-6,685.6E-6,1.181E-3,1.581E-3,1.923E-3,2.224E-3,2.495E-3
740.0E-3,376.3E-6,685.4E-6,1.181E-3,1.580E-3,1.922E-3,2.222E-3,2.493E-3
745.0E-3,376.2E-6,685.2E-6,1.180E-3,1.579E-3,1.920E-3,2.221E-3,2.491E-3
750.0E-3,376.2E-6,685.0E-6,1.180E-3,1.579E-3,1.919E-3,2.219E-3,2.490E-3
755.0E-3,376.1E-6,684.8E-6,1.179E-3,1.578E-3,1.918E-3,2.218E-3,2.488E-3
760.0E-3,376.0E-6,684.7E-6,1.179E-3,1.577E-3,1.917E-3,2.216E-3,2.486E-3
765.0E-3,376.0E-6,684.5E-6,1.178E-3,1.576E-3,1.915E-3,2.215E-3,2.484E-3
770.0E-3,375.9E-6,684.3E-6,1.178E-3,1.575E-3,1.914E-3,2.213E-3,2.482E-3
775.0E-3,375.9E-6,684.1E-6,1.177E-3,1.574E-3,1.913E-3,2.212E-3,2.480E-3
780.0E-3,375.8E-6,683.9E-6,1.177E-3,1.573E-3,1.912E-3,2.210E-3,2.479E-3
785.0E-3,375.7E-6,683.7E-6,1.176E-3,1.573E-3,1.911E-3,2.209E-3,2.477E-3
790.0E-3,375.7E-6,683.5E-6,1.176E-3,1.572E-3,1.910E-3,2.207E-3,2.475E-3
795.0E-3,375.6E-6,683.3E-6,1.175E-3,1.571E-3,1.908E-3,2.206E-3,2.473E-3
800.0E-3,375.6E-6,683.1E-6,1.175E-3,1.570E-3,1.907E-3,2.204E-3,2.471E-3
805.0E-3,375.5E-6,682.9E-6,1.174E-3,1.569E-3,1.906E-3,2.203E-3,2.469E-3
810.0E-3,375.4E-6,682.7E-6,1.174E-3,1.568E-3,1.905E-3,2.201E-3,2.468E-3
815.0E-3,375.4E-6,682.6E-6,1.173E-3,1.568E-3,1.904E-3,2.200E-3,2.466E-3
820.0E-3,375.3E-6,682.4E-6,1.172E-3,1.567E-3,1.902E-3,2.198E-3,2.464E-3
825.0E-3,375.3E-6,682.2E-6,1.172E-3,1.566E-3,1.901E-3,2.197E-3,2.462E-3
830.0E-3,375.2E-6,682.0E-6,1.171E-3,1.565E-3,1.900E-3,2.195E-3,2.460E-3
835.0E-3,375.1E-6,681.8E-6,1.171E-3,1.564E-3,1.899E-3,2.194E-3,2.459E-3
840.0E-3,375.1E-6,681.6E-6,1.170E-3,1.563E-3,1.898E-3,2.192E-3,2.457E-3
845.0E-3,375.0E-6,681.4E-6,1.170E-3,1.563E-3,1.897E-3,2.191E-3,2.455E-3
850.0E-3,375.0E-6,681.2E-6,1.169E-3,1.562E-3,1.896E-3,2.189E-3,2.453E-3
855.0E-3,374.9E-6,681.0E-6,1.169E-3,1.561E-3,1.894E-3,2.188E-3,2.452E-3
860.0E-3,374.9E-6,680.9E-6,1.168E-3,1.560E-3,1.893E-3,2.186E-3,2.450E-3
